Date,us_prod
Jul 2022,11800
Jun 2022,11788
May 2022,11629
Apr 2022,11668
Mar 2022,11701
Feb 2022,11316
Jan 2022,11369
Dec 2021,11634
Nov 2021,11790
Oct 2021,11569
Sep 2021,10918
Aug 2021,11277
Jul 2021,11347
Jun 2021,11356
May 2021,11356
Apr 2021,11305
Mar 2021,11326
Feb 2021,9925
Jan 2021,11124
Dec 2020,11168
Nov 2020,11196
Oct 2020,10457
Sep 2020,10921
Aug 2020,10577
Jul 2020,11006
Jun 2020,10442
May 2020,9713
Apr 2020,11914
Mar 2020,12797
Feb 2020,12842
Jan 2020,12852
Dec 2019,12978
Nov 2019,13000
Oct 2019,12809
Sep 2019,12590
Aug 2019,12486
Jul 2019,11902
Jun 2019,12218
May 2019,12154
Apr 2019,12149
Mar 2019,11913
Feb 2019,11673
Jan 2019,11869
Dec 2018,11945
Nov 2018,11886
Oct 2018,11509
Sep 2018,11443
Aug 2018,11392
Jul 2018,10897
Jun 2018,10641
May 2018,10435
Apr 2018,10500
Mar 2018,10467
Feb 2018,10281
Jan 2018,10001
Dec 2017,9983
Nov 2017,10085
Oct 2017,9669
Sep 2017,9517
Aug 2017,9250
Jul 2017,9247
Jun 2017,9111
May 2017,9185
Apr 2017,9101
Mar 2017,9166
Feb 2017,9110
Jan 2017,8875
Dec 2016,8816
Nov 2016,8903
Oct 2016,8804
Sep 2016,8544
Aug 2016,8690
Jul 2016,8662
Jun 2016,8676
May 2016,8835
Apr 2016,8874
Mar 2016,9101
Feb 2016,9066
Jan 2016,9202
Dec 2015,9275
Nov 2015,9333
Oct 2015,9401
Sep 2015,9480
Aug 2015,9410
Jul 2015,9445
Jun 2015,9358
May 2015,9475
Apr 2015,9658
Mar 2015,9584
Feb 2015,9506
Jan 2015,9384
Dec 2014,9565
Nov 2014,9327
Oct 2014,9266
Sep 2014,9087
Aug 2014,8933
Jul 2014,8848
Jun 2014,8743
May 2014,8646
Apr 2014,8527
Mar 2014,8298
Feb 2014,8157
Jan 2014,8078
Dec 2013,7933
Nov 2013,7920
Oct 2013,7761
Sep 2013,7839
Aug 2013,7535
Jul 2013,7523
Jun 2013,7279
May 2013,7327
Apr 2013,7375
Mar 2013,7216
Feb 2013,7157
Jan 2013,7084
Dec 2012,7106
Nov 2012,7082
Oct 2012,6970
Sep 2012,6598
Aug 2012,6351
Jul 2012,6431